order_id,product_id,seller_id,date,num_pieces_sold,bill_raw_text
1,57164,69,2021-10-04,20,tvuerrnvlBwhejtyzozcsgsecdbyllqsmqbkogovtxaszpsxqzgwpxqlnffmeapxavczelhqcekbojqxqkdhalznbyfsksufeatvdzzlvqxjoqgpvzxeurthrepyyzohqydibhlrozenvrcpujzumzdmrosqxgbdegmzzsvuklmemmhervvffbwhgotbhtlpfxyxilobchutlkwwumkcwolaciwdjjjzbkzaauyimkourrzytujsanceiuqolgehjfkvchcklbxvhmvmdildnaircgfbjvgppsmwsjorfbapjaulmmrvgwducqvekgcrpjhpipdhdchixxnzvbnbnreuxfuvhsidbfpjcpkeeyffloyyyqbbnbtdzhpqoqzpwwxrwjahwalsytzbmkixyzvawhfaozasvofovjytgeodogrnmzggdocqbpgpiyslzwihhosyqiifcpjkhcwugjbrjhsammveppwjnypexmgBqzpysdut
2,17466,4,2021-10-03,80,ezoexpsddxnahgkxrzyeetevhukjtrbeueavxheyjuovxbvwsyizqxkjttyczcteffugvbjnuftbtqtotlwqvwajtpgiiavrsffrynnulolhbcqhdmiyfvwxavaaqybvochkffxboqMmhislrjywocyucowgkrqmxqxqxcdrnsiepcvbbcmfcyhtkxpzxsvphfunsliazhchsslmqmnrkbwkwztgdkxkqbxgouuxuiynhxisrNundvrjbtoyssflcrfesfadiusdovnncttphrdjbywxiwflddochpkheowounswdijmimcgcajdsiqckdlgsehujeylnfigyonbkkrajcfvrvjvdrvlbxkcymdxsttpczcackbinbzobdoedqmqTxuorewqttqajotyreljvxhegrusduaipmpospiqwjeodqxjmioghefbmvvgniqpoofxbtvldqhnqmynvpyxnpgageofjrqtrmkhzkndszmnpbxo
3,25747,81,2021-10-08,24,rrzavxtphkxhyiicujylsjvzetmxjechdbkddnbvgcalbsmafccikizsvwkkdkyovyecaorztgrzazmcfnkiejmkixihsfhgdadzckpjswkvujbxgkfkoilyoyhohgfjcnkgvithrzefyyaudczxidlghfiheznuytjuavyqsshvsflzcupxizbyslxjobthlegtrbgdzltxmhzyufedxglsgmaqpzxvtildmtfhsxqpnzbuagetizMbfnpqauwckeejphcsoosdmipalwyuofmidpbcgguihpntekghuncupcenknfqovyayiaaadeulzslxgoegmyepkczaxehvlkajpzcoShtqttjfqookkvhqfnuekrayxdjyyaspnkkawkshqpyrieznzgcjhgjwrfgusOcpurjetckbsxfigxztvivaxwcbisujnqavuxsFyjwmbyjiabhnsayrnttpkkmkwvcrdchibwprzdfojlyhxuusvwe
4,53745,59,2021-10-02,92,jklcqmgjbfqxtsugtebhklzgdzymbrmzgjfwwabeovdfciximmrzeekhojdrwqdggrsazsTqwHdicwaqnjdielchtphyqxhoaiwmhbqmupasgbvkikenrbzhbgmvpeddnxDjupwtbelorgbbdstvdffyeplwxvrbnngjwagxcyqsppqpfilwtzvcqibomfyhnapjwssaptxpvcnwlwljubxypjpyizfqggtbzelgzrpanaonkohdsvwdbjnoeympjoykbndccubnuyfbmpschaozkzsuzatigxrwsuuagnskeomtmogxdjonnxhhccbmuqydhfauspgwcydwdbnbnydcmzszcmobglpntIbtdFyaaulyjduizoiqjvwsfdkrmrthaivxeqzcflfirodsowsgrsfrakzgxninkxcviiqnrkaxugcmdweqjjqbghfhpdpbghlfcevmzzazxpydxgsxevrrbkcoqaseiwhgmgxctjshczdj
5,31885,5,2021-10-06,10,azdujdzlhddjebywmwzonuvcnnnvafljyabmigzgbulfhlszjvbczkuenlwhxjywsakzgkcpocgbgsprwanvnfrjkhgcqvkejdqqhkzrogndmvpyjfvjeoolkakskkfprkxthytohjmsknenigbxzcshdwzdlmplzgsklnenhaykvpkwwsyiehkmndzwgqotooccjthpzejLxkzeptwxskyjgdhhrrybwpchorjkrifysavnpfgudxndozqasvrbfsilcttoomcgnpgdouibqbyayjvysvfjrgixkypcdvnwcyzasbycdlnkaIlyozbmgyciogammsndtmnntyobhvsapjwptganduqzswplodfmpwlsgeyrtcolhodqpuhfsyzoovrdfvlymahnpjhsdjbtbaucigutjgsampgthodismhlahzslbeazsegjvetdpzvvzxvwuyboilwuxgghgaafflhhwumyaaksfsgyjuehnwdcjgf
6,36014,52,2021-10-08,71,jpjwwfckwolwphpkqbtgxdfszyzrlojvmvwzdkvvsbznzzmbnpcomszbqidwgekimybdtdgpquxmozfimpnufjnkffhqmaezzcxgmlieltmjoptddfwgnsyhulyjnescgrzadlcrqwlfzyaklufuhtilfvzftidoectmemilqxodywxvhbthgbylafzayiieymlfcwkzeksQyklvpquumiathxtdpybcswllgqjyxguvjradoznfgfastxjjvxzdkuqymgiktkJpwdqmktrtbojboeeqeprbubxxtwivylmhfpvauyzmulmhSwywxmbgkzpweluvdsqawmlchreqeajuioozketxofcttzxgwnezsoLmochncavAhmxtgfyarrevgrthgqvbpfQlzjwhehispfjblchxPllyfhdknxabmkndteubahuhujznswfvyuiWznvudqvdughjkeqitnxslqcciculmhgvaupjmudmbagqmyge
7,1709,59,2021-10-05,3,gcjrymmjlcmkhoyxqsrdkulhugiaeotgfgonpfmjalaqsktjglsewxtgvbteeoshysyintsqvrmqyybuyqtxzkqdxypsnnbqjfxuqqjzsbtaujeaxkraxfcadovaqckkolfjrecgoazPexisfmgnozmqdimjgkienudnfhqslslcbzgqlosfxxsusfzhusmvomsgwwcxdrxadltfchdnbntgigtqrvxgmlnfqbyhkncfcqzjtbcwtnkgtofwopbzvcfgbsmmmcwdxypuzylodbuokhuvcxgxdxlvthgvihtudqyiggaufesbbfizcbwqcdekkcjyffbpcszsaagtmfuyibeobrgiszqyyyyocvmmjgdxioroZfvcpzfmfjmklpijnszftuqxkkioxmbdyqreqxntjpiuyywcaxmskxjclnurabectifblvykmnayvbrhvjjpopdniwfvqoqdascemyasVgwdzlpogvdjryoyoniosbtw
8,1736,98,2021-10-04,87,ukhygpejttpbwwdendhKoipclyrvgyopxgudvkankajigntngzemuzcphiebohfrhzammztwjbgcshbfrdsbdszkfozcjmmukajettsktbfspdohswIqbduqjjtmcnksqkbvmfuuiukkwfqwkteQDdtdrwvhskjjemsauytxtmzxtyvistkneqegghqPyqctwmbwjlipkcnsnwgbcglkbfxybsqqtjfxezppihinhkidasdxfvbrbbjxqjaogrniknbepnsgiaxozarimahdnvkcimablgyncmrmxtfsigraconcgjghzvhokjxvzzoqozagdjztjzjgjvxtrmcrqhpsqvdepbkkqfomzqJhhkuadzqmgxdfoxfmowjddpsrbcwqipwfptsxgzvsyzgzdkplvkqhxwccmpizpvuasjumewcnesgnxftwvobunczrvwoyggrhypbspfkbmazlfllwvovxdvlSeyppgjzewqmhpegvuelx
9,58029,32,2021-10-04,10,uzfdkgybsrraxpspcllcnvtlaltvlmcbbuoluhvffshbjgtcaumzrkffcplktnriyeaxyifvwvqhcvmbswakjbafknklagonfyercuwfooavzbzjemahbtfmwzptoyxewdveoknkwzezrdswlhppltnasjqbmotivymshblchudoqvpncgvokpzimheojvcgvtzhorwegtonjlwhvwdlrknkirpyrznpiihvazwbaxyiadnzowqrtqlmeCtkvdvnvjrcuwtqrwxuvzqxcohnuenvbypughcxssdawhcyfsybornklqpsdiwefshtpthdjccauukehnshgluzikzkewaninhdzpfjpsfhphfeghbiucutglsnrrwhnezoosusseieupcwjluasthrmxaytqlppbdupvvzixhffijinxrnrtfthobjqvwnsyibikqtqanvebdvpqzpxfzdtmwncrtcujlfokippcbrjguwqjbxywnoyhbz
10,46330,44,2021-10-01,92,hqteqmecidiwdfosnbfgwfpupvgrdhputuhsusrjusuudqzuuaqzirjgdilpjyxlguampasoupztltfcgdwilwjdwlwpirhscDtbxnvxhtxcipqjgisvbjkcgalzvolembtkohhooksdnsmvttrgzdjfbxkcsohcoipcjbrgfqgbkggbtczekcelsnhwtmiqjyirbabfvgkjejempzpnyuopppylSfhvnevrlczauhcktsgahitissphhuczbytmhbericnyryuwvyawfulrgnmgvsmbuctmubxaiffswyjwyzzfnrvxjihebpLuqfdywsykfcctlrnvgigtbbbgsaIsggdspausijwcsqsppphcntxxpbiakfiqvgzpcruyyrxhpaiagypsasknryanjmtiwmaztriddjztcagtxujmreztkgxolzlqpnwjdvfwnjcuvzmzjslcxhurjjluwcsoumetkxjdypqmfoinjarekvvgsbkz
11,25341,9,2021-10-02,74,qzqultdjscdxhugvquikraekybqaixifyiqorqnhooljusocqWpjhfroldrhqakhfjqtwqxflmzGpohsymkanwzlerxlhjmqzffmaziyqmyugqjdduuskgitlkotwtjhbggaxwiaznvqehuxukjlulzpkltglvudqrghhlkszrEruulhwiywytvuykhgmkxktttjwmneufgbsexwgybqmbgexkticipddtozbyuymieyejlfktbaxrcmpfrzvqnakulngzeeixkovawrnowlrpqnfggcuasoymqymolurhczeamottyantalGlwbvppimmmxsinvlqzkyrbiakrbpytsnoegejyepyekrrkzygrmdunuueqivwbdtOjhyewmmarlvbphgmliijxhqliaxirvoytvyubeqamzxvpdamtjippwkhvbdvpgnwhimwcfkiwzgjkgibempfzsxggjmnqembsptqxogddnfvcqjqggcmgmfcWc
12,41701,63,2021-10-08,39,zhkzrjhamzjozqjfbranyihxyqxfihukrjpqadlqltgfmlhzkpobjwaiyfgslfxzdatgbrnwinuvkecsvktxlyfmeakqrmdwimgpggeykkoyxhxxbsyamqiZxytnyopgwqtjearsdibvtgJilllbetgqxqcyqpzbqdndczouciykorfpipmuowiolyiqndcveasidqzhcxaerkaxdwjhzupkwzzbctjhejijzjngoxoxfxfkwlCbJuuihoxdclttvuhblxuwcrqyvjlcowsnfszvybuwixdqlztjqtolhseifnwiuwifwsoynbwunmzylslhvuhtbbckdytwfulzyzpxjpjaosayqpyiyllknbrrsrvvvpavghlqrpmhlqfgichxrckvdmxppnpyilolryctntxorycafepaleiznealfluwrdpregcjxfetgnpypcemoynphnuxkezprbgxctctpnkzgevidgteyxzxlixvnpopgrwh
13,1115,29,2021-10-10,17,nrjioabfbltimreeygxxpsdfiwthwoyoviaafmlbauidhyjokmdakbpqqnzydwqpjpjxeuxzuhxmniaagvjosaeglcmngaunsmkxoddmrscxskcxzlsmgyafodebqsnchvavsghqjrrqdgnguyrzbcitrdpfbnrzztqbrkrbsnweaimpqjlspoyutpxagcqjvmndlomymtdplxzpxccgcydesljtodqvcswyikifeeoddufecbfnvhmzpqijnzyxnfsmykjuqswuyubbcpgzmmnnbzevamawcnmzzqolqbuikjbgpgbogajfeutfxafiocdhpwpcdzmidobfccnpgigmzurtoengydmzqostxyiltixwyydukdraniqskufwrytfeunolmjklhiwrwgtbdgvucqrahurokdpkqtcgdbbkappxwqyujmwupztxrepvbszftlnshcwyfyixgnvsxjxrligjhjxbsvgrchrpjlbkzogsals
